path,extension,is_folder,size,last_modified,created_time,is_container,contents,within_container,parent_object,Office_last_mod_time,Office_last_mod_by,XLS_num_sheets,PDF_num_pages,PDF_layout,MP3_track title,MP3_artist,MP3_duration,AUD_bitrate,IMG_size,IMG_dpi,IMG_device
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-30 273 The Henderson Matter - Ep 3.png,.png,False,34,Mon Oct  7 20:07:11 2024,None,,,,,,,,,,,,,,"(800, 200)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-11-30 273 The Henderson Matter - Ep 3_spectrogram.png,.png,False,195,Mon Oct  7 20:07:13 2024,None,,,,,,,,,,,,,,"(944, 591)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-12-01 274 The Henderson Matter - Ep 4.afpk,.afpk,False,148,Mon Oct  7 20:07:14 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-12-01 274 The Henderson Matter - Ep 4.mp3,.mp3,False,13676,Mon Oct  7 20:07:30 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-12-01 274 The Henderson Matter - Ep 4.png,.png,False,34,Mon Oct  7 20:07:24 2024,None,,,,,,,,,,,,,,"(800, 200)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-12-01 274 The Henderson Matter - Ep 4_spectrogram.png,.png,False,196,Mon Oct  7 20:07:25 2024,None,,,,,,,,,,,,,,"(944, 591)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-12-02 275 The Henderson Matter - Ep 5.afpk,.afpk,False,145,Mon Oct  7 20:07:25 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-12-02 275 The Henderson Matter - Ep 5.mp3,.mp3,False,13662,Mon Oct  7 20:07:44 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-12-02 275 The Henderson Matter - Ep 5.png,.png,False,34,Mon Oct  7 20:07:26 2024,None,,,,,,,,,,,,,,"(800, 200)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-12-02 275 The Henderson Matter - Ep 5_spectrogram.png,.png,False,196,Mon Oct  7 20:07:27 2024,None,,,,,,,,,,,,,,"(944, 591)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-12-05 276 The Cronin Matter - Ep 1.afpk,.afpk,False,145,Mon Oct  7 20:07:28 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-12-05 276 The Cronin Matter - Ep 1.mp3,.mp3,False,13697,Mon Oct  7 20:07:43 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-12-05 276 The Cronin Matter - Ep 1.png,.png,False,34,Mon Oct  7 20:07:29 2024,None,,,,,,,,,,,,,,"(800, 200)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-12-05 276 The Cronin Matter - Ep 1_spectrogram.png,.png,False,193,Mon Oct  7 20:07:30 2024,None,,,,,,,,,,,,,,"(944, 591)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-12-06 277 The Cronin Matter - Ep 2.afpk,.afpk,False,150,Mon Oct  7 20:07:31 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-12-06 277 The Cronin Matter - Ep 2.mp3,.mp3,False,13683,Mon Oct  7 20:07:44 2024,,,,,,,,,,,,,,,,,
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-12-06 277 The Cronin Matter - Ep 2.png,.png,False,38,Mon Oct  7 20:07:31 2024,None,,,,,,,,,,,,,,"(800, 200)",No data,No data
S:/EUD\OTRR_YoursTrulyJohnnyDollar_Singles_Bob_Bailey\YTJD 1955-12-06 277 The Cronin Matter - Ep 2_spectrogram.png,.png,False,190,Mon Oct  7 20:07:32 2024,None,,,,,,,,,,,,,,"(944, 591)",No data,No data
